Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
03/01/2020,"19,922","690,074","984,908","86,790","55,825","1,636","2,212,965"
03/02/2020,"30,338","766,591","2,209,066","321,569","180,701","17,140","5,329,915"
03/03/2020,"32,767","773,392","2,228,608","319,727","190,648","17,453","5,481,103"
03/04/2020,"34,297","794,316","2,177,165","311,662","192,689","17,136","5,498,809"
03/05/2020,"33,209","816,054","2,244,515","307,597","194,386","17,203","5,496,453"
03/06/2020,"30,970","830,505","2,066,743","289,171","205,056","15,285","5,189,447"
03/07/2020,"18,117","722,378","1,249,085","106,058","75,838","2,445","2,814,637"
03/08/2020,"19,477","669,603","957,163","81,565","60,800","1,672","2,120,656"
03/09/2020,"29,609","754,118","2,124,770","277,001","183,953","16,122","4,973,513"
03/10/2020,"31,315","747,295","2,111,989","259,324","179,050","15,805","4,867,818"
03/11/2020,"32,198","757,001","2,112,967","245,798","175,074","15,340","4,697,122"
03/12/2020,"30,814","772,233","1,938,424","197,178","169,547","14,169","4,149,505"
03/13/2020,"26,640","751,270","1,715,737","158,582","167,176","11,769","3,484,996"
03/14/2020,"13,394","544,028","993,287","44,885","39,701","2,135","1,670,665"
03/15/2020,"12,480","461,936","711,555","33,407","32,641","1,368","1,157,711"
03/16/2020,"21,145","615,758","1,237,309","119,333","153,262","5,741","2,178,555"
03/17/2020,"18,173","561,066","1,094,949","83,578","147,391","4,573","1,788,786"
03/18/2020,"15,942","545,521","1,059,502","74,883","146,118","4,133","1,625,280"
03/19/2020,"14,116","487,894","933,602","59,538","144,466","3,452","1,422,112"
03/20/2020,"12,744","483,475","868,602","50,021","145,160","3,124","1,309,125"
03/21/2020,"6,467","327,396","411,491","12,438","23,700","1,044","619,618"
03/22/2020,"4,824","237,248","73,517","8,891","20,830",641,"408,723"
03/23/2020,"9,902","307,988","59,321","30,564","139,285","1,639","709,499"
03/24/2020,"9,133","336,568","60,334","29,785","139,194","1,727","741,587"
03/25/2020,"9,512","318,687","51,769","26,143","138,239","1,572","690,032"
03/26/2020,"8,795","331,502","49,970","23,809","138,668","1,563","680,360"
03/27/2020,"8,409","337,501","45,514","20,355","138,903","1,495","656,817"
03/28/2020,"4,491","203,924","19,745","5,279","19,088",600,"332,393"
03/29/2020,"3,374","167,032","14,307","4,358","18,152",419,"263,700"
03/30/2020,"8,084","292,157","33,659","19,741","137,762","1,140","545,215"
03/31/2020,"7,672","285,703","32,211","16,194","137,464","1,043","508,106"
04/01/2020,"8,151","289,625","29,373","10,548","9,300",720,"513,481"
04/02/2020,"7,077","287,703","26,788","10,057","9,492",882,"485,586"
04/03/2020,"7,794","288,361","24,418","9,657","9,770",843,"483,357"
04/04/2020,"4,375","207,438","13,168","3,727","4,451",425,"282,278"
04/05/2020,"2,763","178,015","9,748","2,969","3,601",300,"227,303"
04/06/2020,"7,093","284,125","22,418","10,127","9,832",819,"445,454"
04/07/2020,"7,041","284,087","21,623","9,312","9,589",732,"434,986"
04/08/2020,"6,950","275,495","20,361","9,039","9,292",721,"427,485"
04/09/2020,"6,243","257,761","18,734","8,413","8,931",690,"404,635"
04/10/2020,"5,378","267,101","17,135","8,247","9,573",672,"400,275"
04/11/2020,"4,235","217,170","9,718","2,749","4,179",406,"257,061"
04/12/2020,"2,525","185,082","7,041","2,245","3,281",294,"198,399"
04/13/2020,"6,205","241,674","14,408","8,192","8,824",649,"363,312"
04/14/2020,"6,585","302,390","17,937","8,816","9,592",791,"430,155"
